Time_Step(minutes),Sample_one,Sample_two,Sample_three,Sample_four
1,66.0,68.0,67.0,67.5
2,62.1,64.9,63.8,64.1
3,56.3,58.3,57.3,58.2
4,51.4,53.4,55.8,52.8
5,51.1,52.7,52.4,52.2
6,50.1,51.7,50.7,50.2
7,,,,
8,49.1,49.8,48.8,48.9
9,48.5,49.1,48.2,48.4
10,47.8,48.1,47.3,47.6
11,46.9,47.0,46.5,46.8
12,46.2,46.3,45.8,46.1
13,45.4,45.6,45.1,45.3
14,44.2,43.4,43.8,43.7
15,44.9,44.8,44.3,44.1
16,43.8,44.0,43.6,43.5
17,42.5,43.5,43.1,42.9
18,41.6,41.7,42.4,41.9
19,41.0,41.0,41.2,41.1
20,40.5,40.6,40.6,41.0
21,40.1,39.9,40.2,40.9
22,39.8,39.8,39.8,39.9
23,39.3,39.2,39.2,39.4
24,38.5,38.4,38.5,38.5
25,37.8,37.6,37.7,37.8
26,,,,
27,36.5,36.2,35.9,36.2
28,36.1,35.5,35.3,35.9
29,35.8,35.4,35.0,35.4
30,35.5,35.0,35.1,35.0
31,35.0,34.4,34.5,34.6
32,35.6,33.8,33.7,33.8
33,35.4,33.6,33.5,33.5
34,35.1,33.2,33.1,33.2
35,34.8,32.9,32.3,32.8
36,34.3,32.5,32.2,32.5
37,34.0,32.3,32.1,32.2
38,33.5,32.7,32.5,32.6
39,33.1,32.4,32.1,32.2
40,32.9,32.1,32.9,33.0
41,32.8,31.9,31.6,31.7
42,,,,
43,32.5,31.5,31.4,31.5
44,,,,
45,32.0,31.4,31.1,31.1
46,,,,
47,31.5,30.9,30.5,30.4
48,31.1,30.7,30.0,30.1
49,30.6,29.9,29.5,29.5
50,,,,
51,,,,
52,29.4,28.9,28.4,28.4
53,29.1,28.4,27.9,27.8
54,28.8,28.1,27.6,27.6
55,28.4,27.7,27.4,27.5
56,28.1,27.4,27.3,27.3
57,27.9,27.1,27.0,26.9
58,27.5,26.6,26.6,26.5
59,27.1,26.4,26.1,26.2
60,26.9,26.2,26.0,26.0
